gold,pred,count
BACKGROUND,BACKGROUND,9
BACKGROUND,CLAIM,1
BACKGROUND,DEFINE,0
BACKGROUND,METHOD,0
BACKGROUND,RESULT,0
BACKGROUND,LIMITATION,0
BACKGROUND,NEXT_STEP,0
BACKGROUND,EXAMPLE,0
CLAIM,BACKGROUND,0
CLAIM,CLAIM,10
CLAIM,DEFINE,0
CLAIM,METHOD,0
CLAIM,RESULT,0
CLAIM,LIMITATION,0
CLAIM,NEXT_STEP,0
CLAIM,EXAMPLE,0
DEFINE,BACKGROUND,0
DEFINE,CLAIM,0
DEFINE,DEFINE,10
DEFINE,METHOD,0
DEFINE,RESULT,0
DEFINE,LIMITATION,0
DEFINE,NEXT_STEP,0
DEFINE,EXAMPLE,0
METHOD,BACKGROUND,0
METHOD,CLAIM,0
METHOD,DEFINE,0
METHOD,METHOD,10
METHOD,RESULT,0
METHOD,LIMITATION,0
METHOD,NEXT_STEP,0
METHOD,EXAMPLE,0
RESULT,BACKGROUND,1
RESULT,CLAIM,0
RESULT,DEFINE,0
RESULT,METHOD,0
RESULT,RESULT,6
RESULT,LIMITATION,3
RESULT,NEXT_STEP,0
RESULT,EXAMPLE,0
LIMITATION,BACKGROUND,0
LIMITATION,CLAIM,0
LIMITATION,DEFINE,0
LIMITATION,METHOD,0
LIMITATION,RESULT,0
LIMITATION,LIMITATION,10
LIMITATION,NEXT_STEP,0
LIMITATION,EXAMPLE,0
NEXT_STEP,BACKGROUND,0
NEXT_STEP,CLAIM,0
NEXT_STEP,DEFINE,0
NEXT_STEP,METHOD,2
NEXT_STEP,RESULT,0
NEXT_STEP,LIMITATION,0
NEXT_STEP,NEXT_STEP,8
NEXT_STEP,EXAMPLE,0
EXAMPLE,BACKGROUND,0
EXAMPLE,CLAIM,2
EXAMPLE,DEFINE,0
EXAMPLE,METHOD,3
EXAMPLE,RESULT,0
EXAMPLE,LIMITATION,0
EXAMPLE,NEXT_STEP,2
EXAMPLE,EXAMPLE,3
